comments,label,text,processed_comments,processed_newstitle,labels
우찌됐뜬 훗날까지도 이관계 그대로 가시길ᆢ 만약 훗날 두분이 다른어떤이들과 같이 아니다라고 발뺌했다가 가까워진다면 그럼 그렇지 역시 속았어 라고 말이 나오지않게 하시길ᆢ,offensive,"""""""억울했다"""" 나영석·정유미, 허위 불륜설 유포자 벌금형→경각심 깨울까(종합)[Oh!쎈 이슈]""
",우찌됐뜬 훗날까지도 관계 그대로 가시길 ᆢ 훗날 두 분이 이들과 아니다라고 발뺌했다가 가까워진다면 역시 속았어 라고 말이 나오지 않게 하시길 ᆢ,억울했다 영석정유미 허위 불륜설 유포자 벌금형경각심 깨울까 종합oh쎈 이슈,1.0
우찬이 전 여친 아니냐 현무야,offensive,"""박나래 """"난 전현무가 헤어질 줄 알았다"""" 고백 ('어서 말을 해')""
",우찬이 전 친 아니냐 현무야,박나래 난 전현무가 헤어질 줄 알았다 고백 어서 말을 해,1.0
우하하 키ㅣ득 어쩌면 조아 일본에서 활동할 팀은 이제부터느 ㄴ아이즈원이당 여러분 아이즈원에게 모든걸 겁시당 내 사랑 아이즈원 알라뷰 그러쿠 말구 역시 아지원 천재박사 진심므로 사랑하는 일본시장은 아이즈원 거다,none,"""[종합]""""BTS→트와이스""""…日, 다현 '위안부 셔츠'에 """"반일활동가"""" 비난""
",우하 키 ㅣ득 어쩌면 조아 일본에서 활동할 팀은 이제부터 느 ㄴ 아이즈원이 당 아이즈원에게 모든 걸 겁시당 내 사랑 아이즈 원 알라뷰 그러쿠 말 역시 아지원 천재 박사 진심므로 사랑하는 일본 시장은 아이즈 원 거다,종합bts 트와이스 日 다현 위안부 셔츠에 반일 활동가 비난,0.0
우효광 추자현 나왔으면~ 마누라 좋아^^,none,"""""""달달함 1도 없어"""" '동상2' 안현모♥라이머 부부, 시작부터 '전쟁' 서막 [어저께TV]""
",우효광 추자현 나왔으면 마누라,달달함 1도 없어 동상2 안현모라이머 부부 시작부터 전쟁 서막 어저께 tv,0.0
운동선수 만나다가 일반사람 만나면 백방 헤어진다. ..먹고 사는 게 사람들 기본적인 욕구인데 벤츠타다가 모닝 탈 수 있나.,offensive,"""‘나혼산’ 전현무·한혜진, 끝인사 NO…담담한 표정으로 ‘해투4’ 녹화 中 [종합]""
",운동선수 만나다가 일반 사람 만나면 백방 헤어진다 먹고 사는 게 사람들 기본적인 욕구인데 벤츠타다가 모닝 탈 수 있나,나혼산 전현무한혜진 끝인사 no 담담한 표정으로 해투4 녹화 中 종합,1.0
운동하는 아들이 없군. 좋은 아빠,none,"""빅토리아♥데이비드 베컴, 이렇게 행복한 여섯 식구…""""귀염둥이 막내딸""""""
",운동하는 아들이 없군 좋은 아빠,빅토리아 데이비드 베컴 이렇게 행복한 식구 귀염둥이 막내딸,0.0
울 제니홧팅 ㅠㅠㅠㅠㅠㅠ 댓글신경쓰지마,none,"""[단독] 블랙핑크 제니, 11월 솔로 데뷔…독보적 매력 대공개""
",울 제니홧 팅 ㅠㅠㅠㅠㅠㅠ 댓글 신경 쓰지마,단독 블랙 핑크 제니 11월 솔로 데뷔 독보적 매력 대공개,0.0
울지마 바보야...나 정말 갠차나,none,"""휘성, 오늘 부친상 비보..28일 발인""
",울지마 바보야나 정말 갠차나,휘성 오늘 부친상 비보28일 발인,0.0
웃기게 생긴 놈이네 요즘엔 저런놈도 연예인하냐,hate,"""[SC이슈]""""열애설→태도논란"""" 비투비 이창섭·정재은 '팔짱영상' 후폭풍(종합)""
",웃기게 생긴 놈이 요즘엔 저런 놈도 연예인 하냐,sc 이슈열애설 태도 논란 비투비 이창섭정재은 팔짱 영상 후폭풍종합,2.0
웃기고있다 야!!!이게어디가 건축학개론 과똑같아. 40대. 먹는배우들이나와서영화한주제에,offensive,"[美친box] '지만갑' 7일만에 100만 돌파...'건축학개론'보다 빠르다
",웃기고 야이게 건축학 개론 똑같아 40대 먹는 배우들이 나와서 영화한 주제에,美 친box 갑 7일 만에 100만 돌파건축학 개론보다 빠르다,1.0
웃기네.. 세월호 리본 떼셨네.. 연예인들 정치하십니까? 세월호는 충분히 정치적입니다. 재수없고 역겹다,hate,"""[종합] “올해 초 교제 여성과 재혼” 오만석, 싱글대디→새출발 (전문)""
",웃기네 세월호 리본 떼셨네 연예인들 정치하십니까 세월호는 충분히 정치적입니다 재수 없고 역겹다,종합 올해 초 교제 여성과 재혼 오만석 싱글 대디새 출발 전문,2.0
웃기다 ㅋㅋ,none,"임현주 아나운서 “당분간 ‘세상을 여는 아침’…감기 조심”
",웃기 다 ㅋㅋ,임현주 아나운서 당분간 세상을 여는 아침 감기 조심,0.0
웃프다. 탈모로 가발 쓴 역 맡았네 ㅋ,offensive,"""‘아스달연대기’ 송중기, ‘깃바닥 노예’서 180도 다른 강한 남자 변신 ‘절치부심’""
",웃프다 탈모로 가발 쓴 역 맡았네 ㅋ,아스달연대기 송중기 깃바닥 노예 서 180도 강 한 남자 변신 절치부심,1.0
워너원ㅇㅈㅅ이 조작멤버구나 왜뽑혔는지 이해불가긴했어,offensive,"프듀 순위조작 갈수록 대범…탈락자 바꾸기→득표수 전반조작
",워너 원ㅇㅈㅅ이 조작 멤버 구나 뽑혔는지 이해 불가긴 했어,프듀 순위 조작 갈수록 대 범 탈락자 바꾸기 득표수 전반 조작,1.0
워너원에는 이런애 없어서 다행이다. 안그래도 단물 다빠져서 곧 없어질 그룹에 기름질을 하네 ㄷㄷ,offensive,"""[SC이슈]""""열애설→태도논란"""" 비투비 이창섭·정재은 '팔짱영상' 후폭풍(종합)""
",워너원에는 애 없어서 다행이다 안 단물 다 빠져서 없어질 그룹에 기름질을 하네 ㄷㄷ,sc 이슈열애설 태도 논란 비투비 이창섭정재은 팔짱 영상 후폭풍종합,1.0
워너원이 나와야지. .,none,"""""""'프듀2' 출신 합류"""" 느와르 """"롤모델 방탄소년단""""(종합)""
",워너원이 나와야지,프듀2 출신 합류 느와 르 롤모델 방탄소년단 종합,0.0
원걸은 그냥 박진영 탓이지... 미국안갔으면 소녀시대 자리 원걸이 먹었다.,none,"""[단독] 원더걸스 출신 선예, 연예계 복귀...새 소속사 찾았다""
",원걸은 그냥 박진영 탓이지 미국 안 갔으면 소녀시대 자리 원걸이 먹었다,단독 원 더걸스 출신 선예 연예계 복귀새 소속사 찾았다,0.0
원데이터 대체 누구를 위한 공개인가,none,"""[단독]'프듀X' 이어 '프듀' 1,2도 진상위 나온다…""""원 데이터 공개해야""""""
",원데이터 대체 누구를 위한 공개인가,단독 프듀x 이어 프듀 2도 진상위 나온 다 원 데이터 공개해야,0.0
"원래 TS 엔터테인먼트 설립자인 김태송 대표는 적자 및 사업 실패로 자살한 것으로 아는데, 그럼 지금 계속 소속 아티스트들 소송 걸면서 딴지거는 것은 도대체 누구야?",offensive,"""[단독] TS 측 """"TRCNG 우엽·태선, 문제 일으켜…주장 거짓말""""(인터뷰)""
",원래 ts 엔터테인먼트 설립자인 김태송 대표는 적자 사업 실패로 자살한 것으로 아는데 지금 계속 소속 아티스트들 소송 걸면서 딴지거는 것은 도대체 누구야,단독 ts 측 trcng 우엽태선 문제 일으켜 주장 거짓말 인터뷰,1.0
원래 금수저 집안이라 자기가 돋보여야하는듯 이게 여배우가 저랬으면 실시간 1등찍었다,offensive,"""[엑's 이슈] 정해인, '백상' 단체사진 '센터 논란'...""""경솔하다"""" VS """"몰랐을 수도""""""
",원래 금수저 집안이라 자기가 돋보여야 하는 듯 이게 배우가 저랬으면 실시간 1등 찍었다,엑s 이슈 정해인 백상 단체 사진 센터 논란 경솔하다 vs 몰랐을 수도,1.0
원래 레파토리였지 계획된,none,"""[Oh!쎈 이슈] 쌈디, 실종된 삼촌 ‘정진철’ 노래발표→삼촌과 재회까지 17일(종합)""
",원래 레파토리였지 계획된,oh쎈 이슈 쌈디 실종된 삼촌 정진철 노래 발표삼촌과 재회까지 17일종합,0.0
원래 마른 몸매 아니었나? 쨌든 부럽네요^^,none,"""안선영, 다이어트 후 물오른 미모 과시...‘살아있는 턱선’""
",원래 마른 몸매 아니었나 쨌든 부럽네요,안선영 다이어트 후 물 오른 미모 과시살아있는 턱선,0.0
원래 현현 커플 비집고 들어온건 영주고 잠깐 한눈팔다 마지막여행에서 아픈 손가락 확인 하고 원래자리로 왔구만 머가 그리도 못 마땅 한지 당췌 솔까 영주같은분 마눌로 두고 살면 피곤 할 스탈임,offensive,"""[단독]김현우, 오영주와 만남 끝내 불발 '하트시그널2' 스페셜 불참""
",원래 현현 커플 비집고 들어온건 영주고 한 눈 팔다 마지막 여행에서 아픈 손가락 확인 하고 원래 자리로 왔구만 머가 그리도 못 마땅 한 지 당췌 솔까 영주 같은 분 마눌로 두고 살면 피곤 할 스탈임,단독김현우 오영주와 만남 끝내 불발 하트시그널2 스페셜 불참,1.0
원작보다 재미없다며 ㅋㅋ,none,"[美친box] '지만갑' 7일만에 100만 돌파...'건축학개론'보다 빠르다
",원작보다 재미없다며 ㅋㅋ,美 친box 갑 7일 만에 100만 돌파건축학 개론보다 빠르다,0.0
원작이랑 스토리가 너무 똑같음 시놉만 가져오고에피소드는 좀 바꿔도 될텐데,none,"""'라이프 온 마스' 정경호, 1988년 속 아버지와 마주쳤다 '도박으로 체포' 충격 (종합)""
",원작이랑 스토리가 너무 똑같음 시 놉만 가져오고 에피소드는 바꿔도 될 텐데,라이프 온 마스 정경호 1988년 속 아버지와 마주쳤다 도박으로 체포 충격 종합,0.0
원작하고 나이가 안맞아서 그렇지 차승원 김사랑이 했으면 딱이었을것같다,none,"박민영 '드레스+하이힐+꽃다발' 전력질주 '김비서가 왜 그럴까'
",원작하고 나이가 안 맞아서 차승원 김사랑이 했으면 딱이었을,박민영 드레스하이힐꽃다발 전력질주 김 비서가 그럴까,0.0
원주시민들 장동민에게 감사패 드려야겠네.본인 고향은 아산인데 원주에 뿌리를 내리려고 홍보하니,none,"""""""방만 10개""""..'미우새' 장동민, 대저택 공개로 증명한 노력(종합)[Oh!쎈 이슈]""
",원주시민들 장동민에게 감사패 드려야겠네 본인 고향은 아산인데 원주에 뿌리를 내리려고 홍보하니,방만 10개미우새 장동민 대저택 공개로 증명한 노력종합oh쎈 이슈,0.0
원준 인준 세준 아버님 빵에 계신 줄 알았는데 언제 출소하셨대요? 나오자마자 아주 신나셨네요 원준 인준 세준 아버님 ㅋㅋ,hate,"""[POP이슈]강용석, 임블리 동거+빚투 의혹 제기→임지현 남편 반박에 '재반박'""
",원준 인준 세준 아버님 빵에 계신 줄 알았는데 출소하셨대요 나오자마자 아주 신 나셨네요 원준 인준 세준 아버님 ㅋㅋ,pop 이슈 강용석 임블리 동거 빚투 의혹 제기임지현 남편 반박에 재반박,2.0
원진이 살려 ㅠㅠㅠㅠㅠㅠㅠ,none,"""'프듀X101' 김요한, 김우석 제치고 1위...이세진, 극적 생존 [종합]""
",원진이 살려 ㅠㅠㅠㅠㅠㅠㅠ,프듀x101 김요한 김우석 제치고 1위이 세진 극적 생존 종합,0.0
원테이블 같은곳을 잘 끌어줘야지. 청년창업이 얼마나 많고 얼마나 많이 망하는데 못한다고 포기하라는건 가혹하다. 백종원도 테스트를 한거고 정신리고 더 노력하라는거다. 꼰데처럼 욕만하지말고,offensive,"[SS리뷰] '골목식당' 신흥시장 변화 이끈 백종원의 '진심'
",원테이블 같은 곳을 잘 끌어줘야지 청년 창업이 많고 많이 망하는데 못한다고 포기하라는 건 가혹하다 백종원도 테스트를 한 거고 정신리 고 더 노력하라는 거다 꼰데처럼 욕만 하지 말고,ss리뷰 골목식당 신흥시장 변화 끈 백종원의 진심,1.0
원테이블 무시하지마세요ㅋㅋ... 알고보면 지방 유지 딸일수도 ㄷㄷㄷ;;; 원테이블은 진심 소꿉 장난일수도 ㅋ,offensive,"""'골목식당' 백종원, 원테이블에 솔루션 """"좋아하는 일 해라"""" (종합)""
",원테이블 무시하지 마세요 ㅋㅋ 알고 보면 지방 유지 딸일 수도 ㄷㄷㄷ 원 테이블은 진심 소꿉 장난일 수도 ㅋ,골목식당 백종원 원테이블에 솔루션 좋아하는 해라 종합,1.0
원테이블의 결론: 결국은 맛보단 이쁜거!!!,none,"""'골목식당' 백종원, 원테이블에 솔루션 """"좋아하는 일 해라"""" (종합)""
",원테이블의 결론 결국은 맛보단 이쁜 거,골목식당 백종원 원테이블에 솔루션 좋아하는 해라 종합,0.0
원호 오빠 믿어!!!!!!! 항상 믿어요!!!!!!! 영원히 함께하자!!! 사랑해요,none,"""정다은, 원호 채무 불이행 폭로...""""법적조치 검토""""vs변호사 문자 공개 [종합]""
",원호 오빠 믿어 항상 믿어요 영원히 하자 사랑해요,정다은 원호 채무 불이행 폭로법적 조치 검토 vs 변호사 문자 공개 종합,0.0
월 200 갈굼받으면서 힘들게 버는 직장인들 힘드신건 알겠는데 돈 많다는 이유로 다른사람 표적질 하면 안되죠~ 도끼 깎아내려봐야 니들 인생만 구차해집니다.,none,"""도끼, """"마이크로닷과 엮지 말라, 어머니는 사기친 적 없다""""""
",200 갈굼받으면서 힘들게 버는 직장인들 힘드신 건 알겠는데 돈 많다는 이유로 사람 표적질 하면 안 되죠 도끼 깎아내려봐야 니들 인생만 구차해집니다,도끼 마이크로닷과 엮지 말라 어머니는 사기 친 적 없다,0.0
"월드컵 때문에 불청 시청이 소원하였지만 왜 박선영은 안 나오는 거냐? 베트남 호이안해변에서 식당 개업한거냐? 아,선영이의 천진쾌활한 웃음소리를 듣고 싶구나! 뜨거운 양철 지붕 위 같은 요즘, 잘 지내고 있겠지.",none,"[종합] '불청' 이재영의 21년만 귀환…투병 중인 父 향한 진심의 '눈물'
",월드컵 불청 시청이 소원하였지만 박선영은 안 나오는 거냐 베트남 호이 안 해변에서 식당 개업한 거냐 선영이의 천진 쾌활한 웃음소리를 듣고 싶구나 뜨거운 양철 지붕 위 같은 요즘 잘 지내고 있겠지,종합 불청 이재영의 21년 만 귀환투병 중인 父 향한 진심의 눈물,0.0
월트디즈니 만화를 보는듯...,none,"""[SC무비] 이승기X심은경 `궁합` 100만 돌파 """"로맨스 잔혹사 끊었다""""""
",월트디즈니 만화를 보는 듯,sc무비 이승기 x심은경 궁합 100만 돌파 로맨스 잔혹 끊었다,0.0
웬디를 축복합니다 예수님의 보혈을 덮습니다 상처에 바릅니다 영혼이 잘됨같이 범사가 잘되고강건해지시길 기도합니다,none,"""SM """"레드벨벳 웬디 얼굴 부위 및 골반과 손목 골절 진단"""" [공식]""
",웬디를 축복합니다 예수님의 보혈을 덮습니다 상처에 바릅니다 영혼이 잘됨같이 범사가 잘 되고 강건해지시길 기도 합니다,sm 레드벨벳 웬디 얼굴 부위 골반과 손목 골절 진단 공식,0.0
웬만하면 적은 안만드는게 좋다,none,"""블락비 박경 """"너 왜 혼자있냐""""…지코 재계약 불발에 간접 언급""
",웬만하면 적은 안 만드는 게 좋다,블락비 박경 있냐 지코 재계약 불발에 간접 언급,0.0
웬지 박명수는 슬프다고 하면 거짓말 같이.느껴짐 ~~ 왜일까?,offensive,"""""""계속 웃고 있었으면""""…'라디오쇼' 박명수, 아이유 '복숭아' 선곡하며 故설리 추모 [종합]""
",웬지 박명수는 슬프다고 하면 거짓말 느껴 짐 왜일까,계속 웃고 있었으면 라디오 쇼 박명수 아이유 복숭아 선곡하며 故 설리 추모 종합,1.0
웬지 페미에 문슬람 같노 ㅋㅋㅋ,hate,"""[종합] 손승원 음주사고, 무면허+뺑소니 의혹→‘윤창호법’ 적용 첫 연예인""
",웬지 페미에 문슬람 같노 ㅋㅋㅋ,종합 손승원 음주사고 무면허 뺑소니 의혹윤창호법 적용 첫 연예인,2.0
위기는 무슨~~,none,"""""""당신 장화사야?""""…'나인룸' 김해숙, 김희선 옥중 편지에 위기 [종합]""
",위기는,장 화사야 나인룸 김해숙 김희선 옥중 편지에 위기 종합,0.0
위너랑 합쳐라 yg는 문제좀 그만 만들어라 이러다 청와대에 글 올라간다 경찰과 yg관계 조사해달라고,hate,"""비아이, 마약 의혹→탈퇴·전속계약 해지…아이콘 어떻게 되나 [종합]""
",위너랑 합쳐라 yg는 문제 그만 만들어라 이러다 청와대에 글 올라간 다 경찰과 yg 관계 조사해 달라고,비아이 마약 의혹 탈퇴전속계약 해지 아이콘 되나 종합,2.0
위너인줄.. 진짜 기자 기사좀 똑바로 쓰지..근데저런 인성이 안좋은 일반인 결혼 기사도 써주나???,offensive,"""'예비 품절남' 김진우, 3살 연하 승무원 열애 ing→올 가을 결혼 [종합]""
",위너인 줄 진짜 기자 기 똑바로 쓰지 근데 저런 인성이 안 좋은 일반인 결혼 기사도 써주나,예비 품절남 김진우 3살 연하 승무원 열애 ing올 가을 결혼 종합,1.0
위대한쇼가 더 잼나긴했어,none,"""[단독] 문근영X김선호 '유령을 잡아라', 오늘(23일) 촬영 마무리""
",위대한 쇼가 더 잼나긴 했어,단독 문근영 x김선호 유령을 잡아라 오늘23일 촬영 마무리,0.0
위장이혼하고 돈 빼돌렸다 잠잠하면 그 돈 쓰며 살겠죠. 피해자들의 피눈물을 생각하길,offensive,"""""""행복한 엄마 미소""""..김나영, 두 아이와 여유로운 일상""
",위장이혼하고 돈 빼돌렸다 잠잠하면 돈 쓰며 살겠죠 피해자들의 피 눈물을 생각하길,행복한 엄마 미소김나영 두 아이와 여유로운 일상,1.0
윌리엄 그동안 스킵했었는데 오늘 이모습하고 서준이에서 눈여겨볼 아이로 성장했움,none,"""[전일야화] '슈돌' 순둥이→까불이 윌리엄, 장난기 이 정도였어?""
",윌리엄 그동안 스킵했었는데 오늘 모습하고 서준이에서 눈여겨볼 아이로 성장했움,전일야화 슈돌 순둥이 까불이 윌리엄 장난기 정도였어,0.0
윌리엄긴장해야것네 벤틀리가더구여울것같다 ㅋㅋㅋ,none,"""[전일야화] '슈돌' 순둥이→까불이 윌리엄, 장난기 이 정도였어?""
",윌리엄 긴장해야 벤틀리가 더 구여울 ㅋㅋㅋ,전일야화 슈돌 순둥이 까불이 윌리엄 장난기 정도였어,0.0
유감같은 소리한다 패소해놓고,none,"""[종합]H.O.T., 상표권 분쟁 속 9월 콘서트 개최…김경욱 측 """"유감""""""
",유감 같은 소리한 다 패소해놓고,종합ho t 상표권 분쟁 속 9월 콘서트 개최 김경욱 측 유감,0.0
유강라인 이었으면 좋겠다,none,"""'런닝맨' 라이언 레이놀즈, 빛나는 활약…유재석·김종국 벌칙(종합)""
",유강라인 이었으면 좋겠다,런닝맨 라이언 레이놀즈 빛나는 활약 유재석김종국 벌칙종합,0.0
유건선배 응원합니다-!!멋지고 착한 자랑스런 배우 유건-!!!!,none,"""[SC이슈]'3년만 복귀→열애 인정'…유건, 꽃길 걸을 인생 2막(종합)""
",유건선배 응원합니다 멋지고 착한 자랑스런 배우 유건,sc 이슈 3년 만 복귀 열애 인정 유건 꽃길 걸을 인생 2막종합,0.0
유검사가 방법이 잘못됐지만..어린시절 부모 억울하게 잃고..복수심도 있을꺼고..이해가 안가는건 아니다..난..왜 유검사가 짠하지..문과장 죽음도 슬펐지만..ㅠㅠ,none,"""'스케치' 정지훈, 강신일 죽인 이승주 의심하기 시작했다 [종합]""
",유 검사가 방법이 잘못됐지만어린 시절 부모 억울하게 잃고 복수 심도 있을 꺼고이해가 안 가는 건 아니다난 유검사가 짠하지문과 장 죽음도 슬펐지만ㅠㅠ,스케치 정지훈 강신일 죽인 이승주 심하기 시작했다 종합,0.0
"유권 여친 병크는 좀 있어도 팬들은 거의 문제 안 삼음 얘가 얼마나 팬들 생각하는 지 아니까,,,ㅋㅋㅋ 뭣도 모르는 머글들은 모르겠지만 팬들은 다 알음 진짜로 ㅋㅋㅋ 알고 씨부리자 제발 ㅠㅠ",hate,"""“8년째 연애 중”…‘인생술집’ 블락비 유권♥전선혜, 4살차 연상연하 커플""
",유권 친 병크는 있어도 팬들은 문제 안 삼음 얘가 팬들 생각하는 지 아니까 ㅋㅋㅋ 뭣도 모르는 머글들은 모르겠지만 팬들은 다 알음 ㅋㅋㅋ 알고 씨 부리자 제발 ㅠㅠ,8년째 연애 중 인생술집 블락비 유권 전선혜 4살 차 연상연하 커플,2.0
유나씨... 사람들 별로 관심없어요.. 요즘 어떤 세상인데 노브라에 관심을 가져요.. 이런 허접한 기사는 그만 쓰세요,hate,"""""""시선강간 싫어"""" 설리, 또 속옷 미착용 논란…갑론을박ing[종합]""
",유나씨 사람들 별로 관심 없어요 요즘 세상인데 노브라에 관심을 가져요 허접한 기사는 그만 쓰세요,시선 강간 싫어 설리 속옷 미착용 논란 갑론을박 ing종합,2.0
유난떠는거보면 연예인 중 최초 입대인 줄 ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ 조용히 다녀와요. 대한민국 남자들 다 가는데 뭔 호들갑이에요,offensive,"""'입대 D-11' 서은광의 슬픈 멜로디..비투비, 눈물의 첫 체조경기장[콘서트 종합]""
",유난 떠는 거 보면 연예인 중 최초 입대인 줄 ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ 조용히 다녀와요 대한민국 남자들 다 가는데 뭔 호들갑이에요,입대 d11 서 은광의 슬픈 멜로디비투비 눈물의 첫 체조 경기장콘서트 종합,1.0
유노윤호같음 사람 진짜 싫음,hate,"""[엑's 이슈] '나혼자' 유노윤호·최강창민, 치명적 매력에 '입덕' 군단 생성""
",유노윤호 같음 사람 진짜 싫음,엑s 이슈 유노윤호최강창민 치명적 매력에 입덕 군단 생성,2.0
유느님~~~~~칭송됐을때도 있었는데~~~~~나오는 족족 노잼이라~~~~미안타 하차해라~~~마이묵었다,offensive,"""[종합] """"열심히 할게요""""…'해투4' 조윤희, MC 데뷔전도 성공(ft.♥이동건)""
",유느님칭송됐을 때도 있었는데나오는 족족 노잼이라미안타 하차해라마이 묵었다,종합 열심히 할게요 해 투4 조윤희 mc 데뷔 전 도 성공ft이동건,1.0
유느님을 건딜다니 확. 폭팔시켜버릴까,offensive,"""가세연, 김건모→유재석→김태호까지…추측만 낳은 '끝없는 폭로'[종합]""
",유느님을 건딜 다니 확 폭팔시켜 버릴까,가세연 김건모유재석 김태호까지 추측만 낳은 끝없는 폭로 종합,1.0
유리 퇴물인대 왜 게스트로 나가냐,offensive,"""'톡투유2' 이효리, 첫 게스트 등장 """"유리와 제주도서 동침""""""
",유리 퇴물인 대 게스트로 나가냐,톡투유2 이효리 첫 게스트 등장 유리와 제주도서 동침,1.0
유리가 누군데? 유리가 한두명이라지...,none,"""“올 가을 내게 ‘빠져가’” 유리, 11년 만에 이룬 色다른 솔로 데뷔(종합)""
",유리가 누군데 유리가 한두 명이라지,올 가을 내게 빠져가 유리 11년 만에 룬 色 솔로 데뷔종합,0.0
유리를 왜 언급하는데,none,"""[단독]`집단 성폭행` 권모씨, 최종훈·정준영 이어 1심 불복 항소""
",유리를 언급하는 데,단독집단 성폭행 권모씨 최종훈정준영 이어 1심 불복 항소,0.0
유리언니 마리텔부터 좋아했었는데 결혼다신다니 정말 축하드립니다ㅜㅜ 정말 행복하셨으면 좋겠어요 두분 행복한 부부생활 보내세요,none,"[종합IS] 서유리♥최병길 결혼 발표…최초 공개 쏟아진 '비스'
",유리 언니 마리텔부터 좋아했었는데 결혼 다신다니 정말 축 하드립니다ㅜㅜ 정말 행복하셨으면 좋겠어요 두 분 행복한 부부생활 보내세요,종합is 서 유리 최병길 결혼 발표 최초 공개 쏟아진 비스,0.0
유리언니....나이먹고 뭐하는 추태죠? ㅠㅠ,offensive,"""“올 가을 내게 ‘빠져가’” 유리, 11년 만에 이룬 色다른 솔로 데뷔(종합)""
",유리 언니나이 먹고 뭐하는 추태죠 ㅠㅠ,올 가을 내게 빠져가 유리 11년 만에 룬 色 솔로 데뷔종합,1.0
유명인도 아니고 고만 좀 나와라 여자가 설치니 남편까지 비호감,offensive,"""[종합]김성은♥정조국, 27일 셋째 득남…다둥이 부모 합류→축하 물결(전문)""
",유명 인도 아니고 고만 나와라 여자가 설치니 남편까지 비호감,종합김성은 정 조국 27일 셋째 득남다둥이 부모 합류 축하 물결전문,1.0
유명인은 결혼 하다가 이혼하면 재상 반띵 해줘야 하는뎅..그냥 혼자 살면서 20대초 모델이나 레이싱걸들 따먹으면서 사는게 훨 낫지..,hate,"""'미우새', 김종국♥홍진영 수영장 데이트에 최고 시청률 20.7%""
",유명인은 결혼 하다가 혼하면 재상 반띵 해줘야 하는 뎅 그냥 살면서 20대 초 모델이나 레이싱 걸들 따먹으면서 사는 게 훨 낫지,미우새 김종국 홍진영 수영장 데이트에 최고 시청률 207,2.0
유민상 투입시켜라,none,"""'해투4' 기은세, 예측불가 토크+야간매점 A/S '예능 팔방미인'""
",유민상 투입시켜라,해투4 기 은세 예측 불가 토크야간매점 as 예능 팔방미인,0.0
유병재 호감~~,none,"‘전지적 참견 시점’ 유병재X김수용 두 마디 대화 끝 “평온한 식사” (종합)
",유병재 호감,전지적 참견 시점 유병재 x김수용 두 마디 대화 끝 평온한 식사 종합,0.0
유병재는 왜캐 가식떠냐.... 저정도면 병아니냐?? 진정성이없어,offensive,"‘전지적 참견 시점’ 유병재X김수용 두 마디 대화 끝 “평온한 식사” (종합)
",유병재는 캐 가식 떠냐 정도면 병 아니냐 진정성이 없어,전지적 참견 시점 유병재 x김수용 두 마디 대화 끝 평온한 식사 종합,1.0
유산 될수있으니 조심하세요 유산은 노노,none,"""[단독]‘임신중’ 최지우 ‘사랑의 불시착’ 특별출연 확정, “내일(20일) 촬영”""
",유산 될 수 있으니 조심하세요 유산은 노노,단독임신중 최지우 사랑의 불 시착 특별출연 확정 내일20일 촬영,0.0
유산슬과 코다리 사랑 듀엣 가즈아~!!!,none,"""'슈가맨3' 애즈원, 87불 최다 기록…'슬픈 얼굴' ART 소환 완료 [종합]""
",유산슬과 코다리 사랑 듀엣 가즈아,슈가맨3 애즈원 87불 최다 기록 슬픈 얼굴 art 소환 완료 종합,0.0
유승민은 좀 꺼져라 보수의 배신자 새끼 박근혜 대통령 덕보고 정치생활 했으면서 뒷통수를 때린 비열한 놈,hate,"송해·이회창·김창숙·유승민···배우 신성일 조문행렬(종합)
",유승민은 꺼져라 보수의 배신자 새끼 박근혜 대통령 덕보고 정치생활 했으면서 뒷통수를 때린 비열한 놈,송해이회창김창숙유승민배우 신성일 조문 행렬종합,2.0
유승준도 죽길빈다,hate,"故조민기 유족 오열 속 발인..조문까지 논란 된 마지막 길
",유승준도 죽길 빈다,故조민기 유족 오열 속 발인 조문까지 논란 된 마지막 길,2.0
유시민 밖에 없다 다음 대선에...,none,"""[단독]'버닝'측 """"제작에 유시춘 아들 참여無..아무 관계 없다""""""
",유시민 밖에 없다 대선에,단독버닝 측 제작에 유 시춘 아들 참여無 아무 관계 없다,0.0
유시민 한테 부탁해봐 무슨궤변 늘어놓나보게,offensive,"""김건모, 사실상 방송 퇴출…경찰 수사 착수[종합]""
",유시민 한테 부탁해봐 궤변 늘어놓나보게,김건모 사실상 방송 퇴출 경찰 수사 착수종합,1.0
"유시춘 아들 마약과 관련된 모발검사, 피검사 죄다 음성인데 유죄라고 하네요... 이젠 증거까지 조작하는 우리나라 법원. ㄷㄷ",hate,"""[단독]'버닝'측 """"제작에 유시춘 아들 참여無..아무 관계 없다""""""
",유시춘 아들 마약과 관련된 모발 검사 피검사 죄 다 음성인데 유죄라고 하네요 증거까지 조작하는 우리나라 법원 ㄷㄷ,단독버닝 측 제작에 유 시춘 아들 참여無 아무 관계 없다,2.0
유아인+유시춘+ 마약 밀반입 유시춘 아들 = 믿고 거른다.,hate,"""[단독]'버닝'측 """"제작에 유시춘 아들 참여無..아무 관계 없다""""""
",유아인유시춘 마약 밀반입 유시춘 아들 믿고 거른다,단독버닝 측 제작에 유 시춘 아들 참여無 아무 관계 없다,2.0
